"","bug","BBC-F0-10","BBC-F0-100","BBC-F0-20","BBC-F0-30","BBC-F0-40","BBC-F0-50","BBC-F0-60","BBC-F0-70","BBC-F0-80","BBC-F0-90","default"
"1","Chart-10","0","0","0","0","0","0","0","0","0","0","0"
"2","Chart-2","1","1","1","1","1","1","1","1","1","1","1"
"3","Chart-4","1","1","0","0","0","0","0","1","0","0","0"
"4","Chart-5","0","0","0","0","0","0","0","0","0","0","0"
"5","Chart-9","0","0","0","0","0","0","0","0","0","0","0"
"6","Cli-31","0","0","0","0","0","0","0","0","0","0","0"
"7","Cli-32","1","1","1","1","1","1","1","1","1","1","1"
"8","Cli-33","0","0","0","0","0","0","0","0","0","0","0"
"9","Cli-35","0","0","0","0","0","0","0","0","0","0","0"
"10","Closure-108","0","0","0","0","0","0","0","0","0","0","0"
"11","Codec-10","0","0","0","0","0","0","0","0","0","0","0"
"12","Codec-11","1","1","1","1","1","1","1","1","1","1","1"
"13","Codec-13","0","0","0","0","0","0","0","0","0","0","0"
"14","Codec-16","0","0","0","0","0","0","0","0","0","0","0"
"15","Codec-17","1","1","1","1","1","1","1","1","1","1","1"
"16","Codec-18","0","0","0","0","0","0","0","0","0","0","0"
"17","Codec-9","0","0","0","0","0","0","0","0","0","0","0"
"18","Collections-25","0","0","0","0","0","0","0","0","0","0","0"
"19","Collections-28","0","0","0","0","0","0","0","0","0","0","0"
"20","Compress-38","0","0","0","0","0","0","0","0","0","0","0"
"21","Compress-45","0","0","0","0","0","0","0","0","0","0","0"
"22","Csv-11","1","1","1","1","1","1","1","1","1","1","1"
"23","Csv-12","0","0","0","0","0","0","0","0","0","0","0"
"24","Csv-8","0","0","0","0","0","0","0","0","0","0","0"
"25","Csv-9","1","1","1","1","1","1","1","1","1","1","1"
"26","Gson-10","0","0","0","0","0","0","0","0","0","0","0"
"27","Gson-11","0","0","0","0","0","0","0","0","0","0","0"
"28","Gson-12","1","1","1","1","1","1","1","1","1","1","1"
"29","Gson-13","0","0","0","0","0","0","0","0","0","0","0"
"30","Gson-14","0","0","0","0","0","0","0","0","0","0","0"
"31","Gson-15","0","0","0","0","0","0","0","0","0","0","0"
"32","Gson-16","0","0","0","0","0","0","0","0","0","0","0"
"33","Gson-17","1","1","1","1","1","1","1","1","1","1","1"
"34","Gson-18","0","0","0","0","0","0","0","0","0","0","0"
"35","Gson-9","0","0","0","0","0","0","0","0","0","0","0"
"36","JacksonCore-17","0","0","0","0","0","0","0","0","0","0","0"
"37","JacksonCore-19","0","0","0","0","0","0","0","0","0","0","0"
"38","JacksonCore-20","1","1","1","1","1","1","1","1","1","1","1"
"39","JacksonCore-21","0","0","0","0","0","0","0","0","0","0","0"
"40","JacksonCore-22","0","0","0","0","0","0","0","0","0","0","0"
"41","JacksonCore-24","0","0","0","0","0","0","0","0","0","0","0"
"42","JacksonCore-25","0","0","0","0","0","0","0","0","0","0","0"
"43","JacksonDatabind-104","0","0","0","0","0","0","0","0","0","0","0"
"44","JacksonDatabind-105","0","0","0","0","0","0","0","0","0","0","0"
"45","JacksonDatabind-107","0","0","0","0","0","0","0","0","0","0","0"
"46","JacksonDatabind-109","0","0","0","0","0","0","0","0","0","0","0"
"47","JacksonDatabind-110","0","0","0","0","0","0","0","0","0","0","0"
"48","JacksonDatabind-112","0","0","0","0","0","0","0","0","0","0","0"
"49","JacksonXml-3","0","0","0","0","0","0","0","0","0","0","0"
"50","JacksonXml-4","0","0","0","0","0","0","0","0","0","0","0"
"51","JacksonXml-6","0","0","0","0","0","0","0","0","0","0","0"
"52","Jsoup-84","1","0","0","0","0","1","1","1","0","0","1"
"53","Jsoup-86","0","0","0","0","0","0","0","0","0","0","0"
"54","Jsoup-89","1","1","1","1","1","1","1","1","1","1","1"
"55","Jsoup-90","0","0","0","0","0","0","0","0","0","0","0"
"56","JxPath-13","0","0","0","0","0","0","0","0","0","0","0"
"57","JxPath-16","0","0","0","0","0","0","0","0","0","0","0"
"58","JxPath-22","0","0","0","0","0","0","0","0","0","0","0"
"59","Lang-1","0","0","0","0","0","0","0","0","0","0","0"
"60","Lang-5","0","0","0","0","0","0","0","0","0","0","0"
"61","Lang-6","0","0","0","0","0","0","0","0","0","0","0"
"62","Math-1","1","1","1","1","1","1","1","1","1","1","1"
"63","Math-3","0","1","0","0","0","0","0","1","0","0","0"
"64","Math-4","1","1","1","1","1","1","1","1","1","1","1"
"65","Math-8","1","0","0","0","0","0","0","1","1","0","0"
"66","Mockito-1","0","0","0","0","0","0","0","0","0","0","0"
"67","Mockito-18","1","1","1","1","1","1","1","1","1","1","1"
"68","Mockito-20","0","0","0","0","0","0","0","0","0","0","0"
"69","Mockito-3","0","0","0","0","0","0","0","0","0","0","0"
"70","Mockito-4","0","0","0","0","0","0","0","0","0","0","0"
"71","Mockito-6","0","0","0","0","0","0","0","0","0","0","0"
"72","Mockito-7","0","0","0","0","0","0","0","0","0","0","0"
"73","Time-10","0","0","0","0","0","0","0","0","0","0","0"
"74","Time-2","0","0","0","0","0","0","0","0","0","0","0"
"75","Time-3","0","0","0","0","0","0","0","0","0","0","0"
"76","Time-5","1","1","1","1","1","1","1","1","1","1","1"
"77","Time-6","1","1","1","1","1","1","1","1","1","1","1"
"78","Time-7","0","0","0","0","0","0","0","0","0","0","0"
"79","Time-8","0","0","0","0","0","0","0","0","0","0","0"
